t_rel_s,rate_mbit,slack_s1,slack_s2,slack_s3,chosen
-0.673,nan,31.1,20.71,10.98,S3
0.327,nan,31.1,20.71,10.98,S3
1.327,nan,31.1,20.71,10.98,S3
2.327,nan,31.1,20.71,10.98,S3
3.327,nan,31.1,20.71,10.98,S3
4.327,nan,31.1,20.71,10.98,S3
5.327,nan,31.1,20.71,10.98,S3
6.327,nan,31.1,20.71,10.98,S3
7.327,nan,31.1,20.71,10.98,S3
8.327,nan,31.1,20.71,10.98,S3
9.327,nan,31.1,20.71,10.98,S3
10.327,nan,31.1,20.71,10.98,S3
11.327,nan,31.1,20.71,10.98,S3
12.327,nan,31.1,20.71,10.98,S3
13.327,nan,31.1,20.71,10.98,S3
14.327,nan,31.1,20.71,10.98,S3
15.327,nan,31.1,20.71,10.98,S3
16.327,nan,31.1,20.71,10.98,S3
17.327,nan,31.1,20.71,10.98,S3
18.327,nan,31.1,20.71,10.98,S3
19.327,nan,31.1,20.71,10.98,S3
20.327,nan,31.1,20.71,10.98,S3
21.327,nan,31.1,20.71,10.98,S3
22.327,nan,31.1,20.71,10.98,S3
23.327,nan,31.1,20.71,10.98,S3
24.327,nan,31.1,20.71,10.98,S3
25.327,nan,31.1,20.71,10.98,S3
26.327,nan,31.1,20.71,10.98,S3
27.327,nan,31.1,20.71,10.98,S3
28.326,nan,31.1,20.71,10.98,S3
29.327,nan,31.1,20.71,10.98,S3
30.327,nan,31.1,20.71,10.98,S3
31.327,nan,31.1,20.71,10.98,S3
32.327,nan,31.1,20.71,10.98,S3
33.327,nan,31.1,20.71,10.98,S3
34.327,nan,31.1,20.71,10.98,S3
35.327,nan,31.1,20.71,10.98,S3
36.327,nan,31.1,20.71,10.98,S3
37.327,nan,31.1,20.71,10.98,S3
38.327,nan,31.1,20.71,10.98,S3
39.327,nan,31.1,20.71,10.98,S3
40.326,nan,31.1,20.71,10.98,S3
41.327,nan,31.1,20.71,10.98,S3
42.327,nan,31.1,20.71,10.98,S3
43.327,nan,31.1,20.71,10.98,S3
44.327,nan,31.1,20.71,10.98,S3
45.327,nan,31.1,20.71,10.98,S3
46.327,nan,31.1,20.71,10.98,S3
47.327,nan,31.1,20.71,10.98,S3
48.327,nan,31.1,20.71,10.98,S3
49.327,nan,31.1,20.71,10.98,S3
50.327,nan,31.1,20.71,10.98,S3
51.327,nan,31.1,20.71,10.98,S3
52.327,nan,31.1,20.71,10.98,S3
53.327,nan,31.1,20.71,10.98,S3
54.327,nan,31.1,20.71,10.98,S3
55.327,nan,31.1,20.71,10.98,S3
56.327,nan,31.1,20.71,10.98,S3
57.327,nan,31.1,20.71,10.98,S3
58.327,nan,31.1,20.71,10.98,S3
59.327,nan,31.1,20.71,10.98,S3
60.327,nan,31.1,20.71,10.98,S3
61.327,nan,31.1,20.71,10.98,S3
62.327,nan,31.1,20.71,10.98,S3
63.327,nan,31.1,20.71,10.98,S3
64.327,nan,31.1,20.71,10.98,S3
65.327,nan,31.1,20.71,10.98,S3
66.327,nan,31.1,20.71,10.98,S3
67.327,nan,31.1,20.71,10.98,S3
68.327,nan,31.1,20.71,10.98,S3
69.327,nan,31.1,20.71,10.98,S3
70.327,nan,31.1,20.71,10.98,S3
71.327,nan,31.1,20.71,10.98,S3
72.327,nan,31.1,20.71,10.98,S3
73.327,nan,31.1,20.71,10.98,S3
74.327,nan,31.1,20.71,10.98,S3
75.327,nan,31.1,20.71,10.98,S3
76.327,nan,31.1,20.71,10.98,S3
77.327,nan,31.1,20.71,10.98,S3
78.327,nan,31.1,20.71,10.98,S3
79.327,nan,31.1,20.71,10.98,S3
80.327,nan,31.1,20.71,10.98,S3
81.327,nan,31.1,20.71,10.98,S3
82.327,nan,31.1,20.71,10.98,S3
83.327,nan,31.1,20.71,10.98,S3
84.327,nan,31.1,20.71,10.98,S3
85.327,nan,31.1,20.71,10.98,S3
86.327,nan,31.1,20.71,10.98,S3
87.327,nan,31.1,20.71,10.98,S3
88.327,nan,31.1,20.71,10.98,S3
89.327,nan,31.1,20.71,10.98,S3
90.327,nan,31.1,20.71,10.98,S3
91.327,nan,31.1,20.71,10.98,S3
92.327,nan,31.1,20.71,10.98,S3
93.327,nan,31.1,20.71,10.98,S3
94.327,nan,31.1,20.71,10.98,S3
95.327,nan,31.1,20.71,10.98,S3
96.327,nan,31.1,20.71,10.98,S3
97.327,nan,31.1,20.71,10.98,S3
98.327,nan,31.1,20.71,10.98,S3
99.327,nan,31.1,20.71,10.98,S3
100.327,nan,31.1,20.71,10.98,S3
101.327,nan,31.1,20.71,10.98,S3
102.327,nan,31.1,20.71,10.98,S3
103.327,nan,31.1,20.71,10.98,S3
104.327,nan,31.1,20.71,10.98,S3
105.327,nan,31.1,20.71,10.98,S3
106.327,nan,31.1,20.71,10.98,S3
107.327,nan,31.1,20.71,10.98,S3
108.327,nan,31.1,20.71,10.98,S3
109.327,nan,31.1,20.71,10.98,S3
110.327,nan,31.1,20.71,10.98,S3
111.327,nan,31.1,20.71,10.98,S3
112.327,nan,31.1,20.71,10.98,S3
113.327,nan,31.1,20.71,10.98,S3
114.326,nan,31.1,20.71,10.98,S3
115.326,nan,31.1,20.71,10.98,S3
116.327,nan,31.1,20.71,10.98,S3
117.326,nan,31.1,20.71,10.98,S3
118.327,nan,31.1,20.71,10.98,S3
119.326,nan,31.1,20.71,10.98,S3
120.326,nan,31.1,20.71,10.98,S3
121.327,2.3,13.98,3.6,-6.14,S2
122.327,2.3,13.98,3.6,-6.14,S2
123.328,2.3,13.98,3.6,-6.14,S2
124.328,2.3,13.98,3.6,-6.14,S2
125.328,2.3,13.98,3.6,-6.14,S2
126.327,2.3,13.98,3.6,-6.14,S2
127.328,2.3,13.98,3.6,-6.14,S2
128.327,2.3,13.98,3.6,-6.14,S2
129.327,2.3,13.98,3.6,-6.14,S2
130.327,2.3,13.98,3.6,-6.14,S2
131.327,2.3,13.98,3.6,-6.14,S2
132.327,2.3,13.98,3.6,-6.14,S2
133.327,2.3,13.98,3.6,-6.14,S2
134.327,2.3,13.98,3.6,-6.14,S2
135.328,2.3,13.98,3.6,-6.14,S2
136.328,2.3,13.98,3.6,-6.14,S2
137.328,2.3,13.98,3.6,-6.14,S2
138.328,2.3,13.98,3.6,-6.14,S2
139.328,2.3,13.98,3.6,-6.14,S2
140.328,2.3,13.98,3.6,-6.14,S2
141.328,2.3,13.98,3.6,-6.14,S2
142.328,2.3,13.98,3.6,-6.14,S2
143.328,2.3,13.98,3.6,-6.14,S2
144.328,2.3,13.98,3.6,-6.14,S2
145.328,2.3,13.98,3.6,-6.14,S2
146.328,2.3,13.98,3.6,-6.14,S2
147.328,2.3,13.98,3.6,-6.14,S2
148.328,2.3,13.98,3.6,-6.14,S2
149.328,2.3,13.98,3.6,-6.14,S2
150.328,2.3,13.98,3.6,-6.14,S2
151.328,2.3,13.98,3.6,-6.14,S2
152.328,2.3,13.98,3.6,-6.14,S2
153.328,2.3,13.98,3.6,-6.14,S2
154.328,2.3,13.98,3.6,-6.14,S2
155.328,2.3,13.98,3.6,-6.14,S2
156.328,2.3,13.98,3.6,-6.14,S2
157.328,2.3,13.98,3.6,-6.14,S2
158.328,2.3,13.98,3.6,-6.14,S2
159.328,2.3,13.98,3.6,-6.14,S2
160.328,2.3,13.98,3.6,-6.14,S2
161.328,2.3,13.98,3.6,-6.14,S2
162.328,2.3,13.98,3.6,-6.14,S2
163.328,2.3,13.98,3.6,-6.14,S2
164.328,2.3,13.98,3.6,-6.14,S2
165.328,2.3,13.98,3.6,-6.14,S2
166.328,2.3,13.98,3.6,-6.14,S2
167.328,2.3,13.98,3.6,-6.14,S2
168.328,2.3,13.98,3.6,-6.14,S2
169.328,2.3,13.98,3.6,-6.14,S2
170.328,2.3,13.98,3.6,-6.14,S2
171.328,2.3,13.98,3.6,-6.14,S2
172.328,2.3,13.98,3.6,-6.14,S2
173.328,2.3,13.98,3.6,-6.14,S2
174.328,2.3,13.98,3.6,-6.14,S2
175.327,2.3,13.98,3.6,-6.14,S2
176.328,2.3,13.98,3.6,-6.14,S2
177.328,2.3,13.98,3.6,-6.14,S2
178.327,2.3,13.98,3.6,-6.14,S2
179.328,2.3,13.98,3.6,-6.14,S2
180.328,2.3,13.98,3.6,-6.14,S2
181.328,2.3,13.98,3.6,-6.14,S2
182.328,2.3,13.98,3.6,-6.14,S2
183.327,2.3,13.98,3.6,-6.14,S2
184.327,2.3,13.98,3.6,-6.14,S2
185.328,2.3,13.98,3.6,-6.14,S2
186.328,2.3,13.98,3.6,-6.14,S2
187.328,2.3,13.98,3.6,-6.14,S2
188.328,2.3,13.98,3.6,-6.14,S2
189.328,2.3,13.98,3.6,-6.14,S2
190.328,2.3,13.98,3.6,-6.14,S2
191.328,2.3,13.98,3.6,-6.14,S2
192.328,2.3,13.98,3.6,-6.14,S2
193.328,2.3,13.98,3.6,-6.14,S2
194.328,2.3,13.98,3.6,-6.14,S2
195.328,2.3,13.98,3.6,-6.14,S2
196.328,2.3,13.98,3.6,-6.14,S2
197.328,2.3,13.98,3.6,-6.14,S2
198.328,2.3,13.98,3.6,-6.14,S2
199.328,2.3,13.98,3.6,-6.14,S2
200.328,2.3,13.98,3.6,-6.14,S2
201.327,2.3,13.98,3.6,-6.14,S2
202.328,2.3,13.98,3.6,-6.14,S2
203.327,2.3,13.98,3.6,-6.14,S2
204.328,2.3,13.98,3.6,-6.14,S2
205.328,2.3,13.98,3.6,-6.14,S2
206.327,2.3,13.98,3.6,-6.14,S2
207.327,2.3,13.98,3.6,-6.14,S2
208.327,2.3,13.98,3.6,-6.14,S2
209.327,2.3,13.98,3.6,-6.14,S2
210.328,2.3,13.98,3.6,-6.14,S2
211.327,2.3,13.98,3.6,-6.14,S2
212.328,2.3,13.98,3.6,-6.14,S2
213.328,2.3,13.98,3.6,-6.14,S2
214.328,2.3,13.98,3.6,-6.14,S2
215.328,2.3,13.98,3.6,-6.14,S2
216.327,2.3,13.98,3.6,-6.14,S2
217.328,2.3,13.98,3.6,-6.14,S2
218.328,2.3,13.98,3.6,-6.14,S2
219.327,2.3,13.98,3.6,-6.14,S2
220.328,2.3,13.98,3.6,-6.14,S2
221.328,2.3,13.98,3.6,-6.14,S2
222.328,2.3,13.98,3.6,-6.14,S2
223.328,2.3,13.98,3.6,-6.14,S2
224.327,2.3,13.98,3.6,-6.14,S2
225.328,2.3,13.98,3.6,-6.14,S2
226.328,2.3,13.98,3.6,-6.14,S2
227.327,2.3,13.98,3.6,-6.14,S2
228.328,2.3,13.98,3.6,-6.14,S2
229.328,2.3,13.98,3.6,-6.14,S2
230.327,2.3,13.98,3.6,-6.14,S2
231.328,2.3,13.98,3.6,-6.14,S2
232.328,2.3,13.98,3.6,-6.14,S2
233.328,2.3,13.98,3.6,-6.14,S2
234.327,2.3,13.98,3.6,-6.14,S2
235.328,2.3,13.98,3.6,-6.14,S2
236.328,2.3,13.98,3.6,-6.14,S2
237.328,2.3,13.98,3.6,-6.14,S2
238.327,2.3,13.98,3.6,-6.14,S2
239.328,2.3,13.98,3.6,-6.14,S2
240.328,2.3,13.98,3.6,-6.14,S2
241.327,nan,31.1,20.71,10.98,S3
242.327,nan,31.1,20.71,10.98,S3
243.327,nan,31.1,20.71,10.98,S3
244.327,nan,31.1,20.71,10.98,S3
245.326,nan,31.1,20.71,10.98,S3
246.327,nan,31.1,20.71,10.98,S3
247.327,nan,31.1,20.71,10.98,S3
248.326,nan,31.1,20.71,10.98,S3
249.327,nan,31.1,20.71,10.98,S3
250.327,nan,31.1,20.71,10.98,S3
251.327,nan,31.1,20.71,10.98,S3
252.327,nan,31.1,20.71,10.98,S3
253.326,nan,31.1,20.71,10.98,S3
254.327,nan,31.1,20.71,10.98,S3
255.327,nan,31.1,20.71,10.98,S3
256.327,nan,31.1,20.71,10.98,S3
257.327,nan,31.1,20.71,10.98,S3
258.326,nan,31.1,20.71,10.98,S3
259.327,nan,31.1,20.71,10.98,S3
260.327,nan,31.1,20.71,10.98,S3
261.327,nan,31.1,20.71,10.98,S3
262.327,nan,31.1,20.71,10.98,S3
263.327,nan,31.1,20.71,10.98,S3
264.327,nan,31.1,20.71,10.98,S3
265.327,nan,31.1,20.71,10.98,S3
266.327,nan,31.1,20.71,10.98,S3
267.327,nan,31.1,20.71,10.98,S3
268.326,nan,31.1,20.71,10.98,S3
269.327,nan,31.1,20.71,10.98,S3
270.327,nan,31.1,20.71,10.98,S3
271.327,nan,31.1,20.71,10.98,S3
272.327,nan,31.1,20.71,10.98,S3
273.326,nan,31.1,20.71,10.98,S3
274.327,nan,31.1,20.71,10.98,S3
275.327,nan,31.1,20.71,10.98,S3
276.327,nan,31.1,20.71,10.98,S3
277.326,nan,31.1,20.71,10.98,S3
278.326,nan,31.1,20.71,10.98,S3
279.327,nan,31.1,20.71,10.98,S3
280.327,nan,31.1,20.71,10.98,S3
281.327,nan,31.1,20.71,10.98,S3
282.327,nan,31.1,20.71,10.98,S3
283.327,nan,31.1,20.71,10.98,S3
284.327,nan,31.1,20.71,10.98,S3
285.326,nan,31.1,20.71,10.98,S3
286.327,nan,31.1,20.71,10.98,S3
287.327,nan,31.1,20.71,10.98,S3
288.327,nan,31.1,20.71,10.98,S3
289.327,nan,31.1,20.71,10.98,S3
290.327,nan,31.1,20.71,10.98,S3
291.327,nan,31.1,20.71,10.98,S3
292.327,nan,31.1,20.71,10.98,S3
293.326,nan,31.1,20.71,10.98,S3
294.327,nan,31.1,20.71,10.98,S3
295.327,nan,31.1,20.71,10.98,S3
296.327,nan,31.1,20.71,10.98,S3
297.327,nan,31.1,20.71,10.98,S3
298.327,nan,31.1,20.71,10.98,S3
299.327,nan,31.1,20.71,10.98,S3
300.326,nan,31.1,20.71,10.98,S3
301.327,nan,31.1,20.71,10.98,S3
302.327,nan,31.1,20.71,10.98,S3
303.327,nan,31.1,20.71,10.98,S3
304.327,nan,31.1,20.71,10.98,S3
305.327,nan,31.1,20.71,10.98,S3
306.327,nan,31.1,20.71,10.98,S3
307.327,nan,31.1,20.71,10.98,S3
308.327,nan,31.1,20.71,10.98,S3
309.327,nan,31.1,20.71,10.98,S3
310.327,nan,31.1,20.71,10.98,S3
311.327,nan,31.1,20.71,10.98,S3
312.327,nan,31.1,20.71,10.98,S3
313.327,nan,31.1,20.71,10.98,S3
314.327,nan,31.1,20.71,10.98,S3
315.326,nan,31.1,20.71,10.98,S3
316.327,nan,31.1,20.71,10.98,S3
317.327,nan,31.1,20.71,10.98,S3
318.327,nan,31.1,20.71,10.98,S3
319.326,nan,31.1,20.71,10.98,S3
320.326,nan,31.1,20.71,10.98,S3
321.327,nan,31.1,20.71,10.98,S3
322.326,nan,31.1,20.71,10.98,S3
323.327,nan,31.1,20.71,10.98,S3
324.327,nan,31.1,20.71,10.98,S3
325.326,nan,31.1,20.71,10.98,S3
326.327,nan,31.1,20.71,10.98,S3
327.327,nan,31.1,20.71,10.98,S3
328.327,nan,31.1,20.71,10.98,S3
329.327,nan,31.1,20.71,10.98,S3
330.327,nan,31.1,20.71,10.98,S3
331.327,nan,31.1,20.71,10.98,S3
332.326,nan,31.1,20.71,10.98,S3
333.327,nan,31.1,20.71,10.98,S3
334.327,nan,31.1,20.71,10.98,S3
335.327,nan,31.1,20.71,10.98,S3
336.327,nan,31.1,20.71,10.98,S3
337.327,nan,31.1,20.71,10.98,S3
338.326,nan,31.1,20.71,10.98,S3
339.327,nan,31.1,20.71,10.98,S3
340.327,nan,31.1,20.71,10.98,S3
341.327,nan,31.1,20.71,10.98,S3
342.327,nan,31.1,20.71,10.98,S3
343.327,nan,31.1,20.71,10.98,S3
344.327,nan,31.1,20.71,10.98,S3
345.327,nan,31.1,20.71,10.98,S3
346.327,nan,31.1,20.71,10.98,S3
347.327,nan,31.1,20.71,10.98,S3
348.327,nan,31.1,20.71,10.98,S3
349.327,nan,31.1,20.71,10.98,S3
350.327,nan,31.1,20.71,10.98,S3
351.326,nan,31.1,20.71,10.98,S3
352.327,nan,31.1,20.71,10.98,S3
353.327,nan,31.1,20.71,10.98,S3
354.327,nan,31.1,20.71,10.98,S3
355.327,nan,31.1,20.71,10.98,S3
356.327,nan,31.1,20.71,10.98,S3
357.327,nan,31.1,20.71,10.98,S3
358.327,nan,31.1,20.71,10.98,S3
359.327,nan,31.1,20.71,10.98,S3
360.327,nan,31.1,20.71,10.98,S3
361.327,nan,31.1,20.71,10.98,S3
